#Partida,,,,Has.ko aurrek.,B. betiko aurrek.,Atxikipenak,Baimendua,Erabilgarria,Xedatua,Obligazioa,ME,Ordainketa
1 0100.120.01.130.00 2021,,3.0,OINARRIZKO ORDAINKETAK,149885.46,149885.46,0.0,44015.17,105870.29,44015.17,44015.17,44015.17,44015.17
1 0100.120.01.132.00 2021,,13.0,OINARRIZKO ORDAINKETAK,322523.35,322523.35,0.0,113955.7,208567.65,113955.7,113955.7,113955.7,113955.7
1 0100.120.01.133.10 2021,,19.0,OINARRIZKO ORDAINKETAK,232405.52,232405.52,0.0,77386.42,155019.1,77386.42,77386.42,77386.42,77386.42
1 0100.121.99.130.00 2021,,4.0,BESTE OSAGARRI BATZUK,282954.76,282954.76,0.0,75759.12,207195.64,75759.12,75759.12,75759.12,75759.12
1 0100.121.99.132.00 2021,,14.0,BESTE OSAGARRI BATZUK,628380.75,628380.75,0.0,264722.37,363658.38,264722.37,264722.37,264722.37,264722.37
1 0100.121.99.133.10 2021,,20.0,BESTE OSAGARRI BATZUK,421322.55,421322.55,0.0,173682.73,247639.82,173682.73,173682.73,173682.73,173682.73
1 0100.160.01.130.00 2021,,5.0,GIZARTE SEGURANTZA,146159.02,146159.02,0.0,39887.23,106271.79,39887.23,39887.23,39887.23,39887.23
1 0100.160.01.132.00 2021,,15.0,GIZARTE SEGURANTZA,350231.88,350231.88,0.0,120544.72,229687.16,120544.72,120544.72,120544.72,120544.72
1 0100.160.01.133.10 2021,,21.0,GIZARTE SEGURANTZA,247745.55,247745.55,0.0,81881.34,165864.21,81881.34,81881.34,81881.34,81881.34
1 0100.160.04.130.00 2021,,6.0,ELKARKIDETZAREN KUOTAK,11437.4,11437.4,0.0,3223.65,8213.75,3223.65,3223.65,3223.65,3223.65
1 0100.160.04.132.00 2021,,16.0,ELKARKIDETZAREN KUOTAK,16546.07,16546.07,0.0,7155.78,9390.29,7155.78,7155.78,7155.78,7155.78
1 0100.160.04.133.10 2021,,22.0,ELKARKIDETZAREN KUOTAK,9927.64,9927.64,0.0,4564.56,5363.08,4564.56,4564.56,4564.56,4564.56
1 0100.212.01.132.00 2021,,17.0,MAKINERIA/INSTALAZ/TRESNERIA,5000.0,5000.0,0.0,145.2,4854.8,145.2,72.6,72.6,60.5
1 0100.213.01.130.00 2021,,7.0,GARRAIO-MATERIALA,10000.0,10000.0,0.0,9195.43,804.57,9195.43,2078.27,2078.27,2073.27
1 0100.213.02.132.00 2021,,1542.0,IBILGAILUEN RENTING,35000.0,35000.0,0.0,30547.44,4452.56,30547.44,8485.4,8485.4,0.0
1 0100.221.04.130.00 2021,,8.0,ERREGAI ETA KARBURANTEAK,6000.0,6000.0,0.0,6282.61,-282.61,6282.61,2154.86,2154.86,1522.71
1 0100.221.05.130.00 2021,,9.0,ARROPAK,35000.0,55000.0,0.0,49937.02,5062.98,49937.02,2437.02,2437.02,2437.02
1 0100.221.99.130.00 2021,,10.0,BESTELAKO HORNIDURAK,8760.0,8760.0,0.0,7271.6,1488.4,7271.6,4878.75,4852.13,4840.13
1 0100.221.99.130.00 2020,,1837.0,BESTELAKO HORNIDURAK,0.0,839.29,0.0,839.29,0.0,839.29,524.69,524.69,524.69
1 0100.224.02.130.00 2021,,11.0,IBILGAILUENAK. ASEGURUAK,3000.0,3000.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0
1 0100.226.99.132.00 2021,,1814.0,BESTE HAINBAT GASTU.,1000.0,1000.0,0.0,363.0,637.0,363.0,363.0,363.0,363.0
1 0100.227.08.441.10 2021,,363.0,GARRAIO-KONTRATUAK,275000.0,275000.0,52000.0,222505.37,494.63,222505.37,66996.3,66996.3,66996.3
1 0100.227.99.133.10 2021,,24.0,KANPOKO BESTELAKO LANAK. GARABIA,125000.0,125000.0,0.0,100000.0,25000.0,100000.0,38879.93,38879.93,38879.93
1 0100.230.01.130.00 2021,,12.0,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,675.0,675.0,0.0,5768.95,-5093.95,5768.95,5768.95,5768.95,5768.95
1 0100.230.01.132.00 2021,,18.0,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,752.5,752.5,0.0,526.83,225.67,526.83,526.83,526.83,526.83
1 0100.230.01.133.10 2021,,25.0,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,752.5,752.5,0.0,258.94,493.56,258.94,258.94,258.94,258.94
1 0100.421.03.441.10 2021,,364.0,GIPUZK.GARRAIOAREN LURRALD.AGINTARITZA,18000.0,18000.0,0.0,2451.5,15548.5,2451.5,2451.5,2451.5,2451.5
1 0100.623.99.132.00 2021,,1816.0,DEFENTSA EKIPOAK,20000.0,28000.0,0.0,25962.97,2037.03,25962.97,0.0,0.0,0.0
1 0100.624.01.132.00 2020,,1838.0,GARRAIO MATERIALA,0.0,20671.57,0.0,20671.57,0.0,20671.57,0.0,0.0,0.0
1 0100.625.01.130.00 2021,,1282.0,ALTZARIAK,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0100.625.01.132.00 2021,,1815.0,ALTZARIAK,7000.0,9000.0,0.0,8130.4,869.6,8130.4,8130.4,1388.34,0.0
1 0100.625.05.132.00 2021,,2023.0,EKIPOAK .DESFIBRILADOREAK,3500.0,7000.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0
1 0100.626.01.130.00 2021,,43.0,EKIPOAK. TETRA KOMUNIKAZIO BIDEA,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0200.120.01.151.00 2021,,32.0,OINARRIZKO ORDAINKETAK,149621.16,149621.16,0.0,54893.7,94727.46,54893.7,54893.7,54893.7,54893.7
1 0200.120.01.172.00 2021,,782.0,OINARRIZKO ORDAINKETAK,16505.52,16505.52,0.0,5880.64,10624.88,5880.64,5880.64,5880.64,5880.64
1 0200.121.99.151.00 2021,,33.0,BESTE OSAGARRI BATZUK,259148.73,259148.73,0.0,116940.39,142208.34,116940.39,116940.39,116940.39,116940.39
1 0200.121.99.172.00 2021,,783.0,BESTE OSAGARRI BATZUK,22431.4,22431.4,0.0,9724.67,12706.73,9724.67,9724.67,9724.67,9724.67
1 0200.160.01.151.00 2021,,35.0,GIZARTE SEGURANTZA,94521.83,94521.83,0.0,37944.36,56577.47,37944.36,37944.36,37944.36,37944.36
1 0200.160.01.172.00 2021,,784.0,GIZARTE SEGURANTZA,12644.99,12644.99,0.0,4738.24,7906.75,4738.24,4738.24,4738.24,4738.24
1 0200.160.04.151.00 2021,,36.0,ELKARKIDETZAREN KUOTAK,10350.02,10350.02,0.0,4348.32,6001.7,4348.32,4348.32,4348.32,4348.32
1 0200.160.04.172.00 2021,,983.0,ELKARKIDETZAREN KUOTAK,1478.55,1478.55,0.0,621.18,857.37,621.18,621.18,621.18,621.18
1 0200.201.01.152.20 2021,,1545.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,6000.0,6000.0,0.0,8687.3,-2687.3,8687.3,3367.66,3367.66,3367.66
1 0200.212.01.151.00 2021,,1817.0,"MAKINERIA,INSTALAZIOAK ETA TRESNERIA",15000.0,15000.0,0.0,11495.0,3505.0,11495.0,0.0,0.0,0.0
1 0200.220.01.152.20 2021,,1546.0,MATERIAL ARRUNT EZ-INBENTARIAGARRIA,2000.0,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
1 0200.221.01.152.20 2021,,1547.0,ENERGIA ELEKTRIKOA. TXONTA LOKALA,2000.0,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
1 0200.224.01.152.20 2021,,1235.0,ASEGURUAK,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
1 0200.226.99.151.00 2021,,38.0,BESTE HAINB.GASTU.ORDEZK.BETEARAZP.,150000.0,150000.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0
1 0200.226.99.172.00 2021,,113.0,BESTE HAINBAT GASTU,12500.0,12500.0,0.0,7438.42,5061.58,7438.42,2149.76,2149.76,2149.76
1 0200.227.07.151.00 2021,,39.0,AZTERKETA ETA LAN TEKNIKOAK,36000.0,36000.0,0.0,6413.0,29587.0,6413.0,0.0,0.0,0.0
1 0200.227.07.151.00 2020,,1840.0,AZTERKETA ETA LAN TEKNIKOAK,0.0,6292.0,0.0,6292.0,0.0,6292.0,0.0,0.0,0.0
1 0200.227.07.151.00 2018,,1839.0,AZTERKETA ETA LAN TEKNIKOAK,0.0,14616.8,0.0,14616.8,0.0,14616.8,0.0,0.0,0.0
1 0200.227.07.172.00 2021,,114.0,AZITAINGO LURZORUAREN KALIT.KONTR.,30000.0,30000.0,0.0,0.0,30000.0,0.0,0.0,0.0,0.0
1 0200.227.07.172.00 2020,,1842.0,AZITAINGO LURZORUAREN KALIT.KONTR.,0.0,28799.94,0.0,28799.94,0.0,28799.94,0.0,0.0,0.0
1 0200.227.07.172.00 2019,,1841.0,AZITAINGO LURZORUAREN KALIT.KONTR.,0.0,902.05,0.0,902.05,0.0,902.05,0.0,0.0,0.0
1 0200.227.90.151.00 2021,,40.0,KANPOKO LANAK,32000.0,32000.0,0.0,0.0,32000.0,0.0,0.0,0.0,0.0
1 0200.227.90.151.00 2020,,1844.0,KANPOKO LANAK,0.0,26982.0,0.0,26982.0,0.0,26982.0,8227.52,8227.52,8227.52
1 0200.227.90.151.00 2019,,1843.0,KANPOKO LANAK,0.0,107078.0,0.0,107078.0,0.0,89298.0,0.0,0.0,0.0
1 0200.227.90.172.00 2021,,1247.0,KANPOKO LANAK,6870.38,6870.38,0.0,14157.0,-7286.62,14157.0,0.0,0.0,0.0
1 0200.227.99.151.00 2021,,41.0,KONTRATOAK KANPOKOEKIN. NEURKETAK,1500.0,1500.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0
1 0200.227.99.172.00 2021,,115.0,KANPOKO BESTELAKO LANAK,60000.0,50925.0,0.0,15215.91,35709.09,15215.91,5000.8,1165.55,0.0
1 0200.227.99.172.00 2020,,1845.0,KANPOKO BESTELAKO LANAK,0.0,3761.93,0.0,3761.93,0.0,3761.93,2420.0,2420.0,2420.0
1 0200.230.01.151.00 2021,,42.0,PERTSONAL DIETAK/GARRAIOA/LEKUALDAKETA,640.0,640.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0
1 0200.230.01.172.00 2021,,986.0,"PERTSONALAREN DIETAK, GARRAIOA ETA LEK.",35.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
1 0200.480.01.152.20 2021,,44.0,FAMILIEI. KALEKO IGOGAILUEN MANTENIM.,6000.0,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0
1 0200.480.01.152.30 2021,,569.0,FAMILIEI,0.0,18000.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0
1 0200.480.01.152.30 2019,,1846.0,FAMILIEI,0.0,14453.0,0.0,14453.0,0.0,600.0,0.0,0.0,0.0
1 0200.481.21.152.20 2021,,845.0,DIRU-LAG.HERRIKO KOADRILA ELKARTEARI,20000.0,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0
1 0200.481.21.152.20 2018,,1847.0,DIRU-LAG.HERRIKO KOADRILA ELKARTEARI,0.0,97.5,0.0,97.5,0.0,97.5,0.0,0.0,0.0
1 0200.600.04.151.00 2021,,1544.0,LUR ONDARERAKO EROSKETAK,250000.0,250000.0,0.0,0.0,250000.0,0.0,0.0,0.0,0.0
1 0200.601.16.172.00 2021,,987.0,"BESTE LAN BATZUK, INGURUMENA",15000.0,15000.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0
1 0200.601.16.172.00 2019,,1848.0,"BESTE LAN BATZUK, INGURUMENA",0.0,151.25,0.0,151.25,0.0,151.25,0.0,0.0,0.0
1 0200.625.02.172.00 2021,,2018.0,AIREAREN KALITATEAREN NEURGAILUAK,0.0,9075.0,0.0,9075.0,0.0,9075.0,9075.0,9075.0,9075.0
1 0200.771.05.152.20 2021,,1818.0,INDUSTRIA-AURRIAK ERAISTEA LAGUNTZA,150000.0,150000.0,0.0,0.0,150000.0,0.0,0.0,0.0,0.0
1 0200.780.02.152.20 2021,,45.0,FAMIL.FATXADAK/IGOGAILUAK BIRGAITU,250000.0,250000.0,0.0,206000.0,44000.0,3338.1,3338.1,3338.1,0.0
1 0200.780.02.152.20 2020,,1849.0,FAMIL.FATXADAK/IGOGAILUAK BIRGAITU,0.0,402157.68,0.0,402157.68,0.0,0.0,0.0,0.0,0.0
1 0200.780.04.152.20 2018,,1850.0,FAMILIEI. TXONTAKO ERAIKIN. BERRIZT. LAN,0.0,1995556.74,0.0,1995556.74,0.0,767968.98,167036.09,167036.09,167036.09
1 0300.120.01.153.20 2021,,46.0,OINARRIZKO ORDAINKETAK,142515.68,142515.68,0.0,59134.43,83381.25,59134.43,59134.43,59134.43,59134.43
1 0300.121.99.153.20 2021,,47.0,BESTE OSAGARRI BATZUK,240411.24,240411.24,0.0,120268.44,120142.8,120268.44,120268.44,120268.44,120268.44
1 0300.131.01.153.20 2021,,1279.0,LABORAL EBENTUALA,41938.96,41938.96,0.0,17645.75,24293.21,17645.75,17645.75,17645.75,17645.75
1 0300.160.01.153.20 2021,,48.0,GIZARTE SEGURANTZA,100712.04,100712.04,0.0,30335.93,70376.11,30335.93,30335.93,30335.93,30335.93
1 0300.160.04.153.20 2021,,49.0,ELKARKIDETZAREN KUOTAK,9338.04,9338.04,0.0,3874.08,5463.96,3874.08,3874.08,3874.08,3874.08
1 0300.230.01.153.20 2021,,50.0,PERTSONAL.DIETAK/GARRAIOA/LEKUALDAKETA,675.0,675.0,0.0,46.84,628.16,46.84,46.84,46.84,46.84
1 0300.601.07.153.20 2021,,51.0,ERREBAL,710000.0,710000.0,0.0,80347.21,629652.79,80347.21,71065.3,65489.62,65489.62
1 0300.601.07.153.20 2020,,1851.0,ERREBAL,0.0,1760614.29,0.0,1760614.29,0.0,1760614.29,1626398.36,1626398.36,1626398.36
1 0300.601.08.153.20 2021,,52.0,HIRI INGURUEN HOBEKUNTZA-IRISGARRITASUNA,1360000.0,1360000.0,704770.27,847.0,654382.73,847.0,847.0,847.0,847.0
1 0300.601.08.153.20 2020,,1853.0,HIRI INGURUEN HOBEKUNTZA-IRISGARRITASUNA,0.0,664984.06,0.0,664984.06,0.0,590308.3,105921.87,105921.87,87583.07
1 0300.601.08.153.20 2019,,1852.0,HIRI INGURUEN HOBEKUNTZA-IRISGARRITASUNA,0.0,311996.69,0.0,311996.69,0.0,135222.17,135222.17,135222.17,135222.17
1 0300.601.14.153.20 2021,,54.0,LAN TXIKIAK,150000.0,150000.0,0.0,35552.96,114447.04,35552.96,14585.2,14585.2,14585.2
1 0300.601.14.153.20 2020,,1855.0,LAN TXIKIAK,0.0,2995.21,0.0,2995.21,0.0,2995.21,2215.63,2215.63,2215.63
1 0300.601.14.153.20 2019,,1854.0,LAN TXIKIAK,0.0,21804.0,0.0,21804.0,0.0,0.0,0.0,0.0,0.0
1 0300.601.20.153.20 2021,,1285.0,UDAL ERAIKUNTZETAN LANAK,200000.0,275000.0,0.0,74921.89,200078.11,28656.45,2502.19,2502.19,2502.19
1 0300.601.20.153.20 2020,,1856.0,UDAL ERAIKUNTZETAN LANAK,0.0,158529.75,0.0,158529.75,0.0,43684.98,42805.31,42805.31,42805.31
1 0300.601.21.323.00 2021,,198.0,LAN TXIKIAK ESKOLETAN,75000.0,110000.0,0.0,106850.56,3149.44,51701.03,25423.05,2073.27,2073.27
1 0300.601.21.323.00 2020,,1857.0,LAN TXIKIAK ESKOLETAN,0.0,3509.0,0.0,3509.0,0.0,3509.0,0.0,0.0,0.0
1 0300.601.23.153.20 2021,,55.0,ALFALTATZE-LANAK,200000.0,200000.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0
1 0300.601.37.454.00 2021,,369.0,BASERRIETAKO AZPIEGITURA,100000.0,100000.0,0.0,94613.39,5386.61,77189.22,30890.53,30890.53,30890.53
1 0300.601.37.454.00 2020,,1858.0,BASERRIETAKO AZPIEGITURA,0.0,29570.02,0.0,29570.02,0.0,29570.02,29570.02,29570.02,29570.02
1 0300.625.01.153.20 2021,,1548.0,ALTZARIAK,20000.0,20000.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0
1 0300.643.01.153.20 2021,,56.0,IKERKETA/AZTERKETA ETA PROIEKTUAK,120000.0,120000.0,0.0,7774.25,112225.75,7774.25,4416.5,4416.5,4416.5
1 0300.643.01.153.20 2020,,1860.0,IKERKETA/AZTERKETA ETA PROIEKTUAK,0.0,261722.48,0.0,261722.48,0.0,213864.42,56424.72,56424.72,56424.72
1 0400.120.01.153.40 2021,,61.0,OINARRIZKO ORDAINKETAK,75798.02,75798.02,0.0,30066.5,45731.52,30066.5,30066.5,30066.5,30066.5
1 0400.120.01.165.00 2021,,91.0,OINARRIZKO ORDAINKETAK,13993.92,13993.92,0.0,5310.12,8683.8,5310.12,5310.12,5310.12,5310.12
1 0400.121.99.153.40 2021,,62.0,BESTE OSAGARRI BATZUK,156481.49,156481.49,0.0,70794.53,85686.96,70794.53,70794.53,70794.53,70794.53
1 0400.121.99.165.00 2021,,92.0,BESTE OSAGARRI BATZUK,28037.16,28037.16,0.0,12255.1,15782.06,12255.1,12255.1,12255.1,12255.1
1 0400.130.03.153.40 2021,,63.0,ORDAINKETAK PERTSONAL LABORAL FINKOARI,353561.75,353561.75,0.0,121441.48,232120.27,121441.48,121441.48,121441.48,121441.48
1 0400.130.03.165.00 2021,,580.0,ORDAINK.PERTSONAL LABORAL FINKOARI,82766.57,82766.57,0.0,20363.41,62403.16,20363.41,20363.41,20363.41,20363.41
1 0400.130.03.171.00 2021,,102.0,ORDAINKETAK PERTSONAL LABORAL FINKOARI,33007.05,33007.05,0.0,50173.14,-17166.09,50173.14,50173.14,50173.14,50173.14
1 0400.130.03.323.00 2021,,188.0,ORDAINKETAK PERTSONAL LABORAL FINKOARI,67264.34,67264.34,0.0,24160.84,43103.5,24160.84,24160.84,24160.84,24160.84
1 0400.130.03.920.40 2021,,433.0,ORDAINKETAK PERTSONAL LABORAL FINKOARI,112017.32,112017.32,0.0,35521.41,76495.91,35521.41,35521.41,35521.41,35521.41
1 0400.131.01.153.40 2021,,64.0,LABORAL EBENTUALA,269847.04,269847.04,0.0,151991.9,117855.14,151991.9,151991.9,151991.9,151991.9
1 0400.131.01.164.00 2021,,82.0,LABORAL EBENTUALA,85076.54,85076.54,0.0,44194.67,40881.87,44194.67,44194.67,44194.67,44194.67
1 0400.131.01.165.00 2021,,1541.0,LABORAL EBENTUALA,0.0,0.0,0.0,13333.63,-13333.63,13333.63,13333.63,13333.63,13333.63
1 0400.131.01.171.00 2021,,103.0,LABORAL EBENTUALA,170980.2,170980.2,0.0,37465.61,133514.59,37465.61,37465.61,37465.61,37465.61
1 0400.131.01.323.00 2021,,643.0,LABORAL EBENTUALA,78350.38,78350.38,0.0,41340.26,37010.12,41340.26,41340.26,41340.26,41340.26
1 0400.131.01.920.40 2021,,811.0,LABORAL EBENTUALA,23020.05,23020.05,0.0,20780.05,2240.0,20780.05,20780.05,20780.05,20780.05
1 0400.160.01.153.40 2021,,65.0,GIZARTE SEGURANTZA,303119.91,303119.91,0.0,90901.67,212218.24,90901.67,90901.67,90901.67,90901.67
1 0400.160.01.164.00 2021,,83.0,GIZARTE SEGURANTZA,31321.7,31321.7,0.0,-453.25,31774.95,-453.25,-453.25,-453.25,-453.25
1 0400.160.01.165.00 2021,,94.0,GIZARTE SEGURANTZA,44047.81,44047.81,0.0,19938.34,24109.47,19938.34,19938.34,19938.34,19938.34
1 0400.160.01.171.00 2021,,104.0,GIZARTE SEGURANTZA,78303.77,78303.77,0.0,18557.53,59746.24,18557.53,18557.53,18557.53,18557.53
1 0400.160.01.323.00 2021,,189.0,GIZARTE SEGURANTZA,51139.47,51139.47,0.0,16115.11,35024.36,16115.11,16115.11,16115.11,16115.11
1 0400.160.01.920.40 2021,,434.0,GIZARTE SEGURANTZA,46620.16,46620.16,0.0,11202.92,35417.24,11202.92,11202.92,11202.92,11202.92
1 0400.160.04.153.40 2021,,66.0,ELKARKIDETZAREN KUOTAK,18354.17,18354.17,0.0,7448.87,10905.3,7448.87,7448.87,7448.87,7448.87
1 0400.160.04.164.00 2021,,84.0,ELKARKIDETZAREN KUOTAK,1013.84,1013.84,0.0,425.94,587.9,425.94,425.94,425.94,425.94
1 0400.160.04.165.00 2021,,95.0,ELKARKIDETZAREN KUOTAK,3041.51,3041.51,0.0,1277.82,1763.69,1277.82,1277.82,1277.82,1277.82
1 0400.160.04.171.00 2021,,105.0,ELKARKIDETZAREN KUOTAK,2027.67,2027.67,0.0,709.9,1317.77,709.9,709.9,709.9,709.9
1 0400.160.04.323.00 2021,,190.0,ELKARKIDETZAREN KUOTAK,4055.35,4055.35,0.0,1490.79,2564.56,1490.79,1490.79,1490.79,1490.79
1 0400.160.04.920.40 2021,,435.0,ELKARKIDETZAREN KUOTAK,4055.35,4055.35,0.0,1277.82,2777.53,1277.82,1277.82,1277.82,1277.82
1 0400.210.01.153.40 2021,,67.0,AZPIEGITURA ETA ONDASUN NATURALAK,90000.0,119804.53,0.0,102180.32,17624.21,102180.32,67924.33,66585.93,64329.98
1 0400.210.01.153.40 2020,,1862.0,AZPIEGITURA ETA ONDASUN NATURALAK,0.0,7253.9,0.0,7253.9,0.0,7253.9,4656.09,4656.09,4656.09
1 0400.210.01.454.00 2021,,367.0,AZPIEGITURA ETA ONDASUN NATURALAK,68000.0,68000.0,0.0,53950.3,14049.7,53950.3,23418.66,23418.66,23418.66
1 0400.210.01.454.00 2020,,1863.0,AZPIEGITURA ETA ONDASUN NATURALAK,0.0,12259.72,0.0,12259.72,0.0,12259.72,12259.72,12259.72,12259.72
1 0400.211.01.323.00 2021,,191.0,ERAIKIN/BESTEL.ERAIK.MANTENIMEND.,121751.0,166442.68,0.0,131125.08,35317.6,131125.08,24715.61,24594.32,20860.02
1 0400.211.01.323.00 2020,,1864.0,ERAIKIN/BESTEL.ERAIK.MANTENIMEND.,0.0,433.85,0.0,417.85,16.0,417.85,0.0,0.0,0.0
1 0400.211.01.333.10 2021,,226.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,49741.92,58937.92,0.0,15963.27,42974.65,15963.27,5491.89,5491.89,5312.81
1 0400.211.01.333.20 2021,,233.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,53936.0,58134.7,0.0,7863.12,50271.58,7863.12,3536.11,3536.11,196.51
1 0400.211.01.333.20 2020,,1865.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,7757.43,0.0,7757.43,0.0,7757.43,0.0,0.0,0.0
1 0400.211.01.334.50 2021,,1751.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,19000.0,19000.0,0.0,11011.0,7989.0,11011.0,7623.0,5929.0,5929.0
1 0400.211.01.920.40 2021,,436.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,140088.25,163147.77,0.0,97954.58,65193.19,97954.58,59178.67,58900.71,52517.65
1 0400.211.01.920.40 2020,,1867.0,ERAIKINAK ETA BESTELAKO ERAIKUNTZAK,0.0,2636.6,0.0,2636.6,0.0,2636.6,1337.95,1337.95,1337.95
1 0400.212.01.134.00 2021,,28.0,MAKINERIA/INSTALAZ/TRESNERIA. MANTENIM.,529454.5,529454.5,0.0,447733.39,81721.11,447733.39,160238.58,118237.88,117737.89
1 0400.212.01.134.00 2020,,1868.0,MAKINERIA/INSTALAZ/TRESNERIA. MANTENIM.,0.0,2145.05,0.0,2145.05,0.0,2145.05,0.0,0.0,0.0
1 0400.212.01.163.00 2021,,77.0,MAKINERIA/INSTALAZ/TRESNERIA,1000.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0
1 0400.212.01.164.00 2021,,85.0,MAKIN/INSTALAZ/TRESNERIA.MANTENIM.,8000.0,8000.0,0.0,2442.05,5557.95,2442.05,1613.2,1564.87,1295.52
1 0400.212.01.164.00 2020,,1869.0,MAKIN/INSTALAZ/TRESNERIA.MANTENIM.,0.0,1574.21,0.0,1574.21,0.0,1574.21,1073.27,1073.27,1073.27
1 0400.212.01.165.00 2021,,96.0,MAKINERIA/INSTALAZ/TRESNERIA,50000.0,50000.0,0.0,25356.63,24643.37,25356.63,13272.23,13272.23,11889.45
1 0400.212.01.165.00 2020,,1870.0,MAKINERIA/INSTALAZ/TRESNERIA,0.0,968.83,0.0,968.83,0.0,968.83,37.55,37.55,37.55
